Name,ShortName
和林格尔县,和林格尔
清水河县,清水河
武川县,武川
包头市,包头
东河区,东河
昆都仑区,昆都仑
青山区,青山
石拐区,石拐
白云鄂博矿区,白云鄂博矿区
九原区,九原
土默特右旗,土默特右旗
固阳县,固阳
达尔罕茂明安联合旗,达茂旗
乌海市,乌海
海勃湾区,海勃湾
海南区,海南
乌达区,乌达
赤峰市,赤峰
红山区,红山
元宝山区,元宝山
松山区,松山
阿鲁科尔沁旗,阿鲁科尔沁旗
巴林左旗,巴林左旗
巴林右旗,巴林右旗
林西县,林西
克什克腾旗,克什克腾旗
翁牛特旗,翁牛特旗
喀喇沁旗,喀喇沁旗
宁城县,宁城
敖汉旗,敖汉旗
通辽市,通辽
科尔沁区,科尔沁
科尔沁左翼中旗,科尔沁左翼中旗
科尔沁左翼后旗,科尔沁左翼后旗
开鲁县,开鲁
库伦旗,库伦旗
奈曼旗,奈曼旗
扎鲁特旗,扎鲁特旗
霍林郭勒市,霍林郭勒
鄂尔多斯市,鄂尔多斯
东胜区,东胜
达拉特旗,达拉特旗
准格尔旗,准格尔旗
鄂托克前旗,鄂托克前旗
鄂托克旗,鄂托克旗
杭锦旗,杭锦旗
乌审旗,乌审旗
伊金霍洛旗,伊金霍洛旗
呼伦贝尔市,呼伦贝尔
海拉尔区,海拉尔
扎赉诺尔区,扎赉诺尔
阿荣旗,阿荣旗
莫力达瓦达斡尔族自治旗,莫旗
鄂伦春自治旗,鄂伦春
鄂温克族自治旗,鄂温
陈巴尔虎旗,陈巴尔虎旗
新巴尔虎左旗,新巴尔虎左旗
新巴尔虎右旗,新巴尔虎右旗
满洲里市,满洲里
牙克石市,牙克石
扎兰屯市,扎兰屯
额尔古纳市,额尔古纳
根河市,根河
巴彦淖尔市,巴彦淖尔
临河区,临河
五原县,五原
磴口县,磴口
乌拉特前旗,乌拉特前旗
乌拉特中旗,乌拉特中旗
乌拉特后旗,乌拉特后旗
杭锦后旗,杭锦后旗
乌兰察布市,乌兰察布
集宁区,集宁
卓资县,卓资
化德县,化德
商都县,商都
兴和县,兴和
凉城县,凉城
察哈尔右翼前旗,察右前旗
察哈尔右翼中旗,察右中旗
察哈尔右翼后旗,察右后旗
四子王旗,四子王旗
丰镇市,丰镇
兴安盟,兴安盟
乌兰浩特市,乌兰浩特
阿尔山市,阿尔山
科尔沁右翼前旗,科右前旗
科尔沁右翼中旗,科右中旗
扎赉特旗,扎赉特旗
突泉县,突泉
锡林郭勒盟,锡林郭勒盟
二连浩特市,二连浩特
锡林浩特市,锡林浩特
阿巴嘎旗,阿巴嘎旗
苏尼特左旗,苏尼特左旗
苏尼特右旗,苏尼特右旗
东乌珠穆沁旗,东乌旗
西乌珠穆沁旗,西乌旗
太仆寺旗,太仆寺旗
镶黄旗,镶黄旗
正镶白旗,正镶白旗
正蓝旗,正蓝旗
多伦县,多伦
阿拉善盟,阿拉善盟
阿拉善左旗,阿拉善左旗
阿拉善右旗,阿拉善右旗
额济纳旗,额济纳旗
辽宁省,辽宁
沈阳市,沈阳
和平区,和平
沈河区,沈河
大东区,大东
皇姑区,皇姑
铁西区,铁西
苏家屯区,苏家屯
浑南区,浑南
沈北新区,沈北新区
于洪区,于洪
辽中县,辽中
康平县,康平
法库县,法库
新民市,新民
大连市,大连
中山区,中山
西岗区,西岗
沙河口区,沙河口
甘井子区,甘井子
旅顺口区,旅顺口
金州区,金州
长海县,长海
瓦房店市,瓦房店
普兰店市,普兰店
庄河市,庄河
鞍山市,鞍山
铁东区,铁东
铁西区,铁西
立山区,立山
千山区,千山
台安县,台安
岫岩满族自治县,岫岩
海城市,海城
抚顺市,抚顺
新抚区,新抚
东洲区,东洲
望花区,望花
顺城区,顺城
抚顺县,抚顺
新宾满族自治县,新宾
清原满族自治县,清原
本溪市,本溪
平山区,平山
溪湖区,溪湖
明山区,明山
南芬区,南芬
本溪满族自治县,本溪
桓仁满族自治县,桓仁
丹东市,丹东
元宝区,元宝
振兴区,振兴
振安区,振安
宽甸满族自治县,宽甸
东港市,东港
凤城市,凤城
锦州市,锦州
古塔区,古塔
凌河区,凌河
太和区,太和
黑山县,黑山
义县,义县
凌海市,凌海
北镇市,北镇
营口市,营口
站前区,站前
西市区,西市
鲅鱼圈区,鲅鱼圈
老边区,老边
盖州市,盖州
大石桥市,大石桥
阜新市,阜新
海州区,海州
新邱区,新邱
太平区,太平
清河门区,清河门
细河区,细河
阜新蒙古族自治县,阜新
彰武县,彰武
辽阳市,辽阳
白塔区,白塔
文圣区,文圣
宏伟区,宏伟
弓长岭区,弓长岭
太子河区,太子河
辽阳县,辽阳
灯塔市,灯塔
盘锦市,盘锦
双台子区,双台子
兴隆台区,兴隆台
大洼县,大洼
盘山县,盘山
铁岭市,铁岭
银州区,银州
清河区,清河
铁岭县,铁岭
西丰县,西丰
昌图县,昌图
调兵山市,调兵山
开原市,开原
朝阳市,朝阳
双塔区,双塔
龙城区,龙城
朝阳县,朝阳
建平县,建平
喀喇沁左翼蒙古族自治县,喀喇沁左翼
北票市,北票
凌源市,凌源
葫芦岛市,葫芦岛
连山区,连山
龙港区,龙港
南票区,南票
绥中县,绥中
建昌县,建昌
兴城市,兴城
金普新区,金普新区
金州新区,金州新区
普湾新区,普湾新区
保税区,保税区
吉林省,吉林
长春市,长春
南关区,南关
宽城区,宽城
朝阳区,朝阳
二道区,二道
绿园区,绿园
双阳区,双阳
九台区,九台
农安县,农安
榆树市,榆树
德惠市,德惠
吉林市,吉林
昌邑区,昌邑
龙潭区,龙潭
船营区,船营
丰满区,丰满
永吉县,永吉
蛟河市,蛟河
桦甸市,桦甸
舒兰市,舒兰
磐石市,磐石
四平市,四平
铁西区,铁西
铁东区,铁东
梨树县,梨树
伊通满族自治县,伊通
公主岭市,公主岭
双辽市,双辽
辽源市,辽源
龙山区,龙山
西安区,西安
东丰县,东丰
东辽县,东辽
通化市,通化
东昌区,东昌
二道江区,二道江
通化县,通化
辉南县,辉南
柳河县,柳河
梅河口市,梅河口
集安市,集安
白山市,白山
浑江区,浑江
江源区,江源
抚松县,抚松
靖宇县,靖宇
长白朝鲜族自治县,长白
临江市,临江
松原市,松原
宁江区,宁江
前郭尔罗斯蒙古族自治县,前郭尔罗斯
长岭县,长岭
